time_sec,left_shoulder_pan_joint,left_shoulder_lift_joint,left_elbow_joint,left_wrist_1_joint,left_wrist_2_joint,left_wrist_3_joint
0.902,-0.628469,1.1084,-0.196229,0.0469383,-0.031677,0.0953492
0.912,-0.585727,1.03208,-0.182427,0.0436399,-0.0295695,0.0888392
0.928,-0.540356,0.951224,-0.167894,0.040154,-0.0273307,0.0819417
0.942,-0.503498,0.885642,-0.156172,0.0373336,-0.0255102,0.0763472
0.952,-0.478694,0.841563,-0.148326,0.0354414,-0.024284,0.0725865
0.964,-0.450511,0.791534,-0.13945,0.0332973,-0.0228896,0.0683174
0.976,-0.428279,0.752106,-0.132477,0.0316102,-0.0217886,0.0649523
0.988,-0.407128,0.71463,-0.125865,0.0300088,-0.0207402,0.0617529
0.998,-0.387008,0.679009,-0.119594,0.0284886,-0.0197419,0.0587112
1.01,-0.379237,0.66526,-0.117177,0.0279024,-0.0193561,0.0575368
1.024,-0.335747,0.588387,-0.103699,0.0246303,-0.0171939,0.050968
1.034,-0.309532,0.542114,-0.0956117,0.0226653,-0.0158876,0.0470109
1.048,-0.285344,0.499464,-0.0881714,0.0208574,-0.0146801,0.0433611
1.058,-0.276765,0.484346,-0.085537,0.0202172,-0.0142513,0.0420667
1.07,-0.26303,0.460155,-0.0813243,0.0191938,-0.013564,0.0399946
1.086,-0.26303,0.460155,-0.0813243,0.0191938,-0.013564,0.0399946
1.102,-0.223463,0.390542,-0.0692163,0.0162546,-0.0115791,0.0340255
1.112,-0.223463,0.390542,-0.0692163,0.0162546,-0.0115791,0.0340255
1.124,-0.199748,0.348873,-0.0619745,0.0144997,-0.010385,0.0304469
1.14,-0.185976,0.324695,-0.0577727,0.013483,-0.00968992,0.0283683
1.152,-0.174926,0.305306,-0.0544023,0.0126686,-0.00913115,0.0266999
1.164,-0.174926,0.305306,-0.0544023,0.0126686,-0.00913115,0.0266999
1.174,-0.154746,0.269923,-0.0482482,0.0111844,-0.00810818,0.0236516
1.186,-0.147038,0.256416,-0.045897,0.0106185,-0.00771645,0.0224867
1.196,-0.138291,0.241095,-0.0432282,0.00997724,-0.00727121,0.0211642
1.206,-0.134114,0.23378,-0.0419533,0.00967126,-0.00705829,0.0205324
1.216,-0.126133,0.219809,-0.0395165,0.0090872,-0.00665094,0.0193248
1.23,-0.117418,0.204559,-0.0368537,0.00845024,-0.00620525,0.0180055
1.246,-0.10819,0.188419,-0.0340316,0.0077768,-0.00573227,0.0166076
1.258,-0.0996846,0.17355,-0.0314276,0.00715706,-0.00529527,0.0153182
1.28,-0.0899847,0.156602,-0.0284531,0.00645138,-0.00479549,0.0138464
1.292,-0.0854937,0.148757,-0.0270739,0.00612509,-0.00456355,0.0131644
1.316,-0.0779658,0.135614,-0.0247588,0.00557881,-0.00417391,0.0120203
1.324,-0.0703746,0.122365,-0.0224193,0.00502879,-0.00377981,0.0108653
1.338,-0.0682445,0.118649,-0.0217617,0.00487461,-0.00366899,0.0105409
1.35,-0.0628735,0.109281,-0.0201016,0.0044862,-0.00338908,0.00972258
