time_sec,q0,q1,q2,q3,q4,q5,tau0,tau1,tau2,tau3,tau4,tau5
0.61,-0.71616,-1.75635,2.41749,-1.55995,-3.89116,3.44919,nan,nan,nan,nan,nan,nan
0.62,-0.714314,-1.75648,2.41591,-1.55985,-3.89004,3.44699,nan,nan,nan,nan,nan,nan
0.63,-0.712321,-1.75662,2.41421,-1.55974,-3.88883,3.44461,nan,nan,nan,nan,nan,nan
0.64,-0.710181,-1.75676,2.41238,-1.55964,-3.88753,3.44205,nan,nan,nan,nan,nan,nan
0.65,-0.707897,-1.7569,2.41042,-1.55953,-3.88615,3.43931,nan,nan,nan,nan,nan,nan
0.66,-0.705471,-1.75706,2.40833,-1.55943,-3.88468,3.4364,nan,nan,nan,nan,nan,nan
0.67,-0.702902,-1.75721,2.40611,-1.55932,-3.88314,3.43331,nan,nan,nan,nan,nan,nan
0.68,-0.700422,-1.75739,2.40395,-1.55924,-3.88166,3.43035,nan,nan,nan,nan,nan,nan
0.69,-0.697595,-1.75753,2.40152,-1.55912,-3.87994,3.42693,nan,nan,nan,nan,nan,nan
0.7,-0.694649,-1.7577,2.39897,-1.55902,-3.87818,3.42338,nan,nan,nan,nan,nan,nan
0.71,-0.691701,-1.75787,2.39639,-1.55894,-3.87643,3.41982,nan,nan,nan,nan,nan,nan
0.72,-0.68876,-1.75803,2.39381,-1.55889,-3.87469,3.41626,nan,nan,nan,nan,nan,nan
0.73,-0.685824,-1.75818,2.39122,-1.55884,-3.87295,3.41269,nan,nan,nan,nan,nan,nan
0.74,-0.682892,-1.75831,2.38862,-1.55881,-3.87123,3.40912,nan,nan,nan,nan,nan,nan
0.75,-0.679964,-1.75843,2.38602,-1.5588,-3.86951,3.40554,nan,nan,nan,nan,nan,nan
0.76,-0.67704,-1.75854,2.38341,-1.55879,-3.8678,3.40196,nan,nan,nan,nan,nan,nan
0.77,-0.674122,-1.75863,2.3808,-1.5588,-3.86609,3.39837,nan,nan,nan,nan,nan,nan
0.78,-0.671212,-1.75872,2.37819,-1.55881,-3.8644,3.39478,nan,nan,nan,nan,nan,nan
0.79,-0.668314,-1.75879,2.37558,-1.55884,-3.86271,3.3912,nan,nan,nan,nan,nan,nan
0.8,-0.665431,-1.75886,2.37298,-1.55888,-3.86104,3.38763,nan,nan,nan,nan,nan,nan
0.81,-0.662565,-1.75892,2.37038,-1.55893,-3.85938,3.38408,nan,nan,nan,nan,nan,nan
0.82,-0.659771,-1.75898,2.36785,-1.55898,-3.85777,3.38061,nan,nan,nan,nan,nan,nan
0.83,-0.657104,-1.75904,2.36542,-1.55904,-3.85623,3.3773,nan,nan,nan,nan,nan,nan
0.84,-0.654566,-1.7591,2.36311,-1.55909,-3.85478,3.37416,nan,nan,nan,nan,nan,nan
0.85,-0.652151,-1.75915,2.36091,-1.55914,-3.85339,3.37116,nan,nan,nan,nan,nan,nan
