time_sec,left_shoulder_pan_joint_desired_pos,left_shoulder_pan_joint_desired_vel,left_shoulder_pan_joint_actual_pos,left_shoulder_pan_joint_actual_vel,left_shoulder_pan_joint_error_pos,left_shoulder_pan_joint_error_vel,left_shoulder_lift_joint_desired_pos,left_shoulder_lift_joint_desired_vel,left_shoulder_lift_joint_actual_pos,left_shoulder_lift_joint_actual_vel,left_shoulder_lift_joint_error_pos,left_shoulder_lift_joint_error_vel,left_elbow_joint_desired_pos,left_elbow_joint_desired_vel,left_elbow_joint_actual_pos,left_elbow_joint_actual_vel,left_elbow_joint_error_pos,left_elbow_joint_error_vel,left_wrist_1_joint_desired_pos,left_wrist_1_joint_desired_vel,left_wrist_1_joint_actual_pos,left_wrist_1_joint_actual_vel,left_wrist_1_joint_error_pos,left_wrist_1_joint_error_vel,left_wrist_2_joint_desired_pos,left_wrist_2_joint_desired_vel,left_wrist_2_joint_actual_pos,left_wrist_2_joint_actual_vel,left_wrist_2_joint_error_pos,left_wrist_2_joint_error_vel,left_wrist_3_joint_desired_pos,left_wrist_3_joint_desired_vel,left_wrist_3_joint_actual_pos,left_wrist_3_joint_actual_vel,left_wrist_3_joint_error_pos,left_wrist_3_joint_error_vel
0.124,-0.734596,0.0199622,-0.734902,0.00104882,0.00030614,0,-1.75434,-0.00267094,-1.7543,-0.000126753,-3.94293e-05,0,2.43259,-0.0162,2.43284,-0.000839159,-0.000246425,0,-1.56189,0.0023566,-1.56192,0.000102239,3.15552e-05,0,-3.90269,0.0124989,-3.90288,0.000652701,0.000191036,0,3.4705,-0.0227359,3.47086,-0.00124463,-0.00035856,0
0.138,-0.734375,0.0132953,-0.734888,0.000979538,0.00051263,0,-1.75437,-0.00177891,-1.7543,-0.000130109,-6.71116e-05,0,2.43241,-0.0107896,2.43283,-0.000788276,-0.00041411,0,-1.56187,0.00156955,-1.56192,8.98614e-05,5.62852e-05,0,-3.90255,0.00832456,-3.90287,0.000606334,0.000320415,0,3.47025,-0.0151427,3.47084,-0.00115969,-0.000593096,0
0.148,-0.734162,0.0167092,-0.734856,0.00347309,0.000694417,0,-1.75439,-0.00223569,-1.7543,-0.00030233,-9.44385e-05,0,2.43224,-0.0135602,2.4328,-0.00274181,-0.000563083,0,-1.56184,0.00197258,-1.56192,0.000473161,7.60202e-05,0,-3.90242,0.0104621,-3.90285,0.0022266,0.000432345,0,3.47001,-0.019031,3.47081,-0.0040397,-0.000798368,0
0.158,-0.733901,0.0201232,-0.734829,0.00460066,0.000928517,0,-1.75443,-0.00269247,-1.7543,-0.000424441,-0.000127234,0,2.43203,-0.0163307,2.43278,-0.00364326,-0.00075376,0,-1.56181,0.0023756,-1.56191,0.000630768,0.000102874,0,-3.90225,0.0125997,-3.90283,0.0029641,0.000578089,0,3.46971,-0.0229192,3.47077,-0.0053438,-0.00106414,0
0.168,-0.733593,0.0235371,-0.734756,0.00585056,0.00116302,0,-1.75447,-0.00314926,-1.75431,-0.000676628,-0.000160532,0,2.43178,-0.0191012,2.43272,-0.00469632,-0.000944995,0,-1.56177,0.00277863,-1.5619,0.000725757,0.000129712,0,-3.90206,0.0147372,-3.90278,0.00369537,0.000723967,0,3.46936,-0.0268075,3.47069,-0.00672868,-0.00132995,0
0.18,-0.733185,0.0284761,-0.734673,0.00725719,0.001488,0,-1.75452,-0.0038101,-1.75432,-0.0009107,-0.000205923,0,2.43145,-0.0231094,2.43266,-0.0058602,-0.00120965,0,-1.56173,0.0033617,-1.56189,0.000861321,0.000167155,0,-3.9018,0.0178297,-3.90273,0.00454358,0.000926447,0,3.4689,-0.0324328,3.47059,-0.00830642,-0.00169891,0
0.192,-0.7327,0.0462154,-0.734588,0.00686929,0.00188792,0,-1.75459,-0.00618361,-1.75433,-0.000988548,-0.000258988,0,2.43105,-0.0375055,2.43259,-0.00560237,-0.00153403,0,-1.56167,0.00545588,-1.56188,0.000745073,0.000214964,0,-3.9015,0.0289367,-3.90268,0.00425044,0.00117733,0,3.46834,-0.052637,3.4705,-0.00782631,-0.00215427,0
0.202,-0.732237,0.0510332,-0.734502,0.011316,0.0022651,0,-1.75465,-0.00682823,-1.75434,-0.00114661,-0.000313862,0,2.43068,-0.0414153,2.43252,-0.00901415,-0.00184221,0,-1.56161,0.00602463,-1.56187,0.00152725,0.000256658,0,-3.90121,0.0319533,-3.90262,0.00723701,0.00141045,0,3.46782,-0.0581242,3.4704,-0.0130303,-0.00258148,0
0.214,-0.731585,0.088592,-0.734326,0.0106306,0.0027416,0,-1.75474,-0.0118536,-1.75436,-0.00153198,-0.000377667,0,2.43015,-0.0718957,2.43238,-0.0086745,-0.00222892,0,-1.56154,0.0104586,-1.56185,0.00116438,0.000313407,0,-3.9008,0.0554699,-3.90251,0.00657926,0.0017094,0,3.46707,-0.100902,3.4702,-0.0120882,-0.00312401,0
0.224,-0.731015,0.0962175,-0.734204,0.0159686,0.00318847,0,-1.75481,-0.0128739,-1.75437,-0.00171762,-0.000442609,0,2.42969,-0.0780841,2.43228,-0.0127679,-0.00259399,0,-1.56147,0.0113588,-1.56183,0.00210629,0.000362799,0,-3.90044,0.0602445,-3.90243,0.0101679,0.0019856,0,3.46642,-0.109587,3.47005,-0.0183381,-0.00363025,0
