iteration,q_0,q_1,q_2,q_3,q_4,q_5,err_p,err_o
70,1.13066,1.06551,-0.266486,0.871436,-4.09966,1.82633,1.12508,0.934353
71,1.19271,1.09844,-0.236543,0.83059,-3.9005,1.80681,1.0974,0.924654
72,1.24663,1.12503,-0.199563,0.818595,-3.72954,1.76074,1.06333,0.91668
73,1.29105,1.14783,-0.156876,0.832764,-3.58602,1.69635,1.02668,0.909879
74,1.32334,1.16903,-0.109003,0.870651,-3.46792,1.61885,0.990551,0.904031
75,1.34016,1.18998,-0.0565103,0.929821,-3.37327,1.53114,0.958015,0.89942
76,1.33813,1.21117,-0.000306169,1.00769,-3.30067,1.43501,0.931929,0.896938
77,1.3144,1.23241,0.0582272,1.10127,-3.24972,1.33244,0.914045,0.898065
78,1.26756,1.2529,0.117143,1.20679,-3.22143,1.22634,0.903862,0.904458
79,1.19864,1.27126,0.173926,1.3197,-3.21865,1.1211,0.898332,0.916905
80,1.11125,1.28547,0.225678,1.43546,-3.24594,1.02269,0.893119,0.934125
81,1.00888,1.29212,0.269264,1.55258,-3.30857,0.938084,0.884684,0.952876
82,0.897092,1.28913,0.30169,1.6693,-3.41182,0.878894,0.871174,0.969127
83,0.782742,1.27796,0.32069,1.77784,-3.55398,0.857872,0.853564,0.979848
84,0.666956,1.25956,0.323142,1.86785,-3.72489,0.878408,0.835645,0.984683
85,0.54981,1.23498,0.305256,1.92515,-3.91011,0.934446,0.822535,0.984526
86,0.43615,1.20519,0.264652,1.93615,-4.09455,1.01624,0.819454,0.979702
87,0.335827,1.17047,0.201828,1.89483,-4.26408,1.11564,0.829526,0.96986
88,0.259068,1.13151,0.119954,1.80447,-4.40652,1.22707,0.851472,0.95521
89,0.212676,1.09108,0.02401,1.6735,-4.512,1.34571,0.880356,0.937709
90,0.199622,1.05448,-0.0800151,1.51087,-4.57251,1.4656,0.911309,0.920976
91,0.220886,1.02893,-0.185514,1.32361,-4.58177,1.57823,0.942816,0.908903
92,0.277339,1.02291,-0.285122,1.11624,-4.53611,1.67195,0.977109,0.904154
93,0.369827,1.04445,-0.370447,0.891308,-4.4365,1.73196,1.01725,0.907308
94,0.497512,1.09624,-0.432315,0.651491,-4.29163,1.7421,1.06213,0.916786
95,0.655304,1.16666,-0.462556,0.407191,-4.1218,1.68953,1.1036,0.929873
96,0.830133,1.22822,-0.459904,0.187589,-3.95929,1.57268,1.13182,0.943878
97,1.00288,1.26268,-0.433374,0.0269595,-3.83376,1.40985,1.14514,0.95658
98,1.15685,1.27632,-0.391221,-0.0653178,-3.75322,1.22883,1.14627,0.966681
99,1.28094,1.28077,-0.337907,-0.0978584,-3.70891,1.0481,1.13566,0.973768
