time_sec,x,y,z
1.484,-0.409232,-0.25686,0.0693943
1.494,-0.409255,-0.256876,0.0693877
1.504,-0.409277,-0.256892,0.0693815
1.514,-0.409298,-0.256907,0.0693756
1.524,-0.409318,-0.256921,0.06937
1.534,-0.409337,-0.256934,0.0693646
1.544,-0.409355,-0.256947,0.0693596
1.554,-0.409372,-0.256959,0.0693548
1.564,-0.409388,-0.256971,0.0693502
1.574,-0.409404,-0.256982,0.0693459
1.584,-0.409419,-0.256992,0.0693418
1.594,-0.409432,-0.257002,0.0693379
1.604,-0.409446,-0.257012,0.0693342
1.614,-0.409458,-0.257021,0.0693307
1.624,-0.40947,-0.257029,0.0693273
1.634,-0.409481,-0.257038,0.0693242
1.644,-0.409492,-0.257045,0.0693212
1.654,-0.409502,-0.257053,0.0693183
1.664,-0.409512,-0.25706,0.0693156
1.674,-0.409521,-0.257066,0.069313
1.684,-0.40953,-0.257073,0.0693106
1.694,-0.409538,-0.257079,0.0693083
1.704,-0.409546,-0.257084,0.0693061
1.714,-0.409554,-0.25709,0.069304
1.724,-0.409561,-0.257095,0.069302
1.734,-0.409568,-0.2571,0.0693001
1.744,-0.409574,-0.257105,0.0692983
1.754,-0.40958,-0.257109,0.0692966
1.764,-0.409586,-0.257113,0.069295
1.774,-0.409592,-0.257117,0.0692935
1.784,-0.409597,-0.257121,0.069292
1.794,-0.409602,-0.257125,0.0692906
1.804,-0.409607,-0.257128,0.0692893
1.814,-0.409611,-0.257132,0.0692881
1.824,-0.409615,-0.257135,0.0692869
